Short Name,Last,First,Middle,Suffix
Jaramillo,Jaramillo,M,,
Jarrín-V,Jarrín-V,Pablo,,
Jimbo,Jimbo,S,,
Jones,Jones,J,Knox,Jr
Jordano,Jordano,P,,
Jouard,Jouard,S,,
Kalko,Kalko,Elisabeth,K,
Kay,Kay,Elma,,
Kessler,Kessler,M,,
Kite,Kite,G,,
Klitgaard,Klitgaard,B,B,
Knudsen,Knudsen,Jette,T,
Koch,Koch,Corinna,U,
Korine,Korine,Carmi,,
Kremer,Kremer,A,,
Kress,Kress,W,John,
Krömer,Krömer,Thorsten,,
Kunz,Kunz,Thomas,H,
Leigh,Leigh,E,J,Jr
Leiner,Leiner,N,O,
Lemke,Lemke,Thomas,O,
Lescure,Lescure,Jean-Paul,,
Leveau,Leveau,A,,
Lewis,Lewis,Susan,E,
Linares,Linares,O,,
Lobo,Lobo,Jorge,A,
Lobova,Lobova,Tatyana,A,
Locatelli,Locatelli,E,,
Loiselle,Loiselle,B,A,
Lopes,Lopes,A,V,
Maas,Maas,Paul,J,
Machado,Machado,Isabel,Cristina,
Maggia,Maggia,L,,
Maia,Maia,Nathan,S,
Mancina,Mancina,C,A,
Manzo-A,Manzo-A,A,,
Marinho-Filho,Marinho-Filho,Jader,S,
Martínez del Rio,Martínez del Rio,Carlos,,
Martino,Martino,Angela,M G,
Masson,Masson,D,,
Maurice,Maurice,Sandrine,,
McCracken,McCracken,Gary,F,
McGregor,McGregor,S,E,
Medeiros,Medeiros,P,,
Medellín,Medellín,Rodrigo,A,
Mello,Mello,Marco,Aurelio R,
Mena,Mena,P,,
Méndez-C,Méndez-C,G,,
Mikich,Mikich,Sandra,Bos,
Miller,Miller,G,H,
Mirón-M,Mirón-M,L,,
Molina-Freaner,Molina-Freaner,Francisco,,
Molinari,Molinari,Jesus,,
Morellato,Morellato,L,P C,
Mori,Mori,Scott,A,
Morrison,Morrison,Douglas,W,
Moura,Moura,M,O,
Muchhala,Muchhala,Nathan,,
Muller,Muller,Marilia,Feleciano,
Mungía-Rosas,Mungía-Rosas,M,A,
Murgueitio,Murgueitio,E,,
Murphy,Murphy,Peter,,
Nagorsen,Nagorsen,D,,
Naranjo,Naranjo,Maria,Elena,
Nason,Nason,J,D,
Nassar,Nassar,Jafet,M,
Navarro,Navarro,L,D,
Nellis,Nellis,D,W,
Noble,Noble,S,J,
Nogueira,Nogueira,Marcelo,R,
Nuñez,Nuñez,R,A,
Olin,Olin,G,,
Oliviera,Oliviera,P,E,
Opler,Opler,P,A,
Orozco,Orozco,Alma,,
Orozco-Segovia,Orozco-Segovia,A,,
Ortega,Ortega,Jorge,,
Owen(J),Owen(J),James,G,
Owen(R ),Owen(R ),Robert,D,
Palacios-Guevara,Palacios-Guevara,C,,
Palmeirim,Palmeirim,J,M,
Passos,Passos,Fernando,C,
Peckham,Peckham,H,,
Pedro,Pedro,W,A,
Peikert-Holle,Peikert-Holle,T,,
Peixoto,Peixoto,M,,
Pennington,Pennington,R,Toby,
Peracchi,Peracchi,Adriano,L,
Perret,Perret,Mathieu,,
Peters,Peters,E,,
Petit,Petit,Sophie,,
Pine,Pine,R,H,
Pizo,Pizo,Marco,A,
Pond,Pond,C,M,
Potts,Potts,M,,
Prance,Prance,Ghillean,T,
Prather,Prather,L,Alan,
Prévost,Prévost,Marie-Françoise,,
Puig,Puig,H,,
Queiróz,Queiróz,A,L,
Quesada,Quesada,Mauricio,,
Ramírez-P,Ramírez-P,Nicte,,
Ramírez  ,Ramírez  ,Nelson,,
Raw,Raw,A,,
Reid,Reid,William,H,
Reis,Reis,Nelio,Roberto dos,
Rengifo,Rengifo,Carlos,,
Reyer,Reyer,H,U,
Rezende,Rezende,J,L P,
Rieger,Rieger,James,F,
Rodríguez,Rodríguez,A,,
Rojas,Rojas,J,,
Rojas-Martínez,Rojas-Martínez,Alberto,,
Romo,Romo,Monica,,
Rosas-Guerrero,Rosas-Guerrero,Victor,,
Rossell,Rossell,O,,
Roth,Roth,B,S,
Ruiz,Ruiz,Adriana,,
Ruiz-Zapata,Ruiz-Zapata,Thirza,,
Runkle,Runkle,James,R,
Ruschi,Ruschi,A,,
Sabatier,Sabatier,Daniel,,
Saborío,Saborío,G,,
Sahley,Sahley,Catherine,T,
Salas,Salas,D,,
Salazar,Salazar,K,A O,
Sanchez-Casas,Sanchez-Casas,N,,
Sánchez-Cordero,Sánchez-Cordero,V,,
Santos,Santos,M,,
Savolainens,Savolainens,V,,
Sawyer,Sawyer,W,B,
Sazima(I),Sazima(I),Ivan,,
Sazima(M),Sazima(M),Marlies,,
Schittini,Schittini,G,M,
Schnitzler,Schnitzler,H,U,
Schwager,Schwager,J,,
Schwassmann,Schwassmann,H,O,
Scogin,Scogin,Ron,,
Shanahan,Shanahan,Mike,,
Silva,Silva,W,R,
Silva-Taboada,Silva-Taboada,Gilberto,,
Simmons,Simmons,Nancy,B,
Slauson,Slauson,Liz,A,
Smith(J),Smith(J),J,D,
Smith(R ),Smith(R ),Robert,L,
Snow,Snow,Jennifer L,,
So,So,Samson,,
