Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Object Kingdom,Object Phylum,Object Class,Object Order,Object Family,Object Genus,Object Species,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus,Plantae,,,,Moraceae,Ficus,Ficus amazonica,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus,Plantae,,,,Solanaceae,Solanum,Solanum asperum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla thomasi,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla thomasi,Plantae,,,,Piperaceae,Piper,Piper aduncum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Urticaceae,Cecropia,,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Piper,Piper hispidum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Piper,Piper marginatum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plantae,,,,Araceae,Rhodospatha,,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plantae,,,,Solanaceae,Solanum,Solanum surinamense,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plantae,,,,Solanaceae,Solanum,Solanum surinamense,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus,Plantae,,,,Salicaceae,Banara,Banara guianensis,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plantae,,,,Salicaceae,Banara,Banara guianensis,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus,Plantae,,,,Piperaceae,Piper,Piper aduncum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plantae,,,,Piperaceae,Piper,Piper aduncum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plantae,,,,Salicaceae,Banara,Banara guianensis,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Fabaceae,Senna,Senna quinquangulata,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Salicaceae,Banara,Banara guianensis,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus brachicephalus,Plantae,,,,Urticaceae,Cecropia,Cecropia sciadophylla,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Chrysobalanaceae,Parinari,,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Solanaceae,Solanum,Solanum sarmentosum,
"C: done 1/2, multiple locations in French Guiana, most at Les Nouragues, but it will be difficult to get coordinates for the others so let's leave it as French Guiana",Done,,Done,,Primary  ,70,"Delaval, M. 2004",South America,French Guiana-Forest,French Guiana,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Solanaceae,Solanum,Solanum sarmentosum,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Lionycteris,Lionycteris spurrelli,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla thomasi,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Choeroniscus,Choeroniscus minor,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Ametrida,Ametrida centurio,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Artibeus,Artibeus concolor,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus elongatus,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus latifolius,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Trinycteris,Trinycteris nicefori,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,Phyllostomidae,Glyphonycteris,Glyphonycteris sylvestris,Plantae,,,,Fabaceae,Eperua,Eperua falcata,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,,,,Plantae,,,,Caryocaraceae,Caryocar,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Visitation,Flower,Chiroptera,,,,Plantae,,,,Fabaceae,Inga,Inga cayenensis,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plantae,,,,Araceae,Philodendron,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Piper,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Solanaceae,Solanum,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Solanaceae,Solanum,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Piperaceae,Piper,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma villosum,Plantae,,,,Moraceae,Ficus,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma trinitatum,Plantae,,,,Moraceae,Ficus,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus gnomus,Plantae,,,,Moraceae,Ficus,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Ectophylla,Ectophylla macconelli,Plantae,,,,Moraceae,Ficus,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plantae,,,,Araceae,Philodendron,,
Done 2/6,Done. Applied standard Loc data for Les Nouragues,,Done,Coordinates for Les Nouragues are taken from Delaval et al.2005; elevation range of 40 to 100 mt is taken from Charles-Dominique 2001.,Primary  ,69,"Delaval, M., M. Henry & M. Charles-Dominique. 2005",South America,Les Nouragues,French Guiana,Forest,4.8333333,-52.7,40,100,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plantae,,,,Urticaceae,Cecropia,Cecropia obtusa,
C: done 1/2 ,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Araceae,Anthurium,,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Cyclanthaceae,Asplundia,Asplundia vagans,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Gesneriaceae,Drymonia,Drymonia rubra,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Campanulaceae,Burmeistera,Burmeistera cyclostigmata,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Araceae,Xanthosoma,Xanthosoma microrhiza,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper aequale,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper amalago,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper auritum,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper bisasperatum,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper dotanum,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper epigynium,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper gibbosum,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper glabrescens,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper lancaefolium,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper obliquum,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Piper,Piper phytolaccifolium,
C: done 1/2,T:done. All location data is given by the author,,Done,,Primary  ,71,"Dinerstein, E. 1986",Central America,Monteverde Cloud Forest Reserve,Costa Rica,Forest,10.4166667,-84.83333333,1500,1640,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe umbellata,
