Citation ID,Citation Short Description,Full Text,Authors,Year,Title,Publication Title,Publication Type,Publisher,Volume,Issue,Pages
286,"Thies, W., K. V. Kalko & H.-U. Schnitzler. 1998","Thies, W., K. V. Kalko & H.-U. Schnitzler. 1998. The roles of echolocation and olfaction in two Neotropical fruit-eating bats, Carollia perspicillata and C. castanea, feeding on Piper. Behav. Ecol. Sociobiol. 42: 397-409.","Thies, Kalko, Schnitzler",1998,"The roles of echolocation and olfaction in two Neotropical fruit-eating bats, Carollia perspicillata and C. castanea, feeding on Piper",--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,42,397-409
287,"Thomas, D. W. 1984","Thomas, D. W. 1984. Moth scales in feces of fruit bats: evidence of insectivory or fruit contamination? Journal of Mammalogy. 65: 484-485.",Thomas,1984,Moth scales in feces of fruit bats: evidence of insectivory or fruit contamination?,Journal of Mammalogy,--Pub-Type-,--Publisher-,--Volume-,65,484-485
288,"Thomas, D. W. 1988","Thomas, D. W. 1988. Analysis of diets of plant-vsiting bats. In Ecological and behavioral methods for the study of bats (T.H. Kunz, ed.), pp. 211-220, Smithsonian Institution Press.",Thomas,1988,Analysis of diets of plant-vsiting bats,Ecological and behavioral methods for the study of bats,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
290,"Tschapka, M. & O. von Helversen. 1995","Tschapka, M. & O. von Helversen. 1995. Supply versus demand: relationship between nectar-density and resource use by flower-visitng phyllostomid bats. Bat Research News 36: 117.","Tschapka, von Helversen(O)",1995,Supply versus demand: relationship between nectar-density and resource use by flower-visitng phyllostomid bats,Bat Research News,--Pub-Type-,--Publisher-,--Volume-,36,117
291,"Tschapka, M. & O. von Helversen. 1999","Tschapka, M. & O. von Helversen. 1999. Pollinators of syntopic Marcgravia species in a Costa Rican lowland rain forest: bats and opossums. Plant Biology. 1: 382-388.","Tschapka, von Helversen(O)",1999,Pollinators of syntopic Marcgravia species in a Costa Rican lowland rain forest: bats and opossums,Plant Biology,--Pub-Type-,--Publisher-,--Volume-,1,382-388
292,"Tschapka, M., S. Dressler & O. von Helversen. 2006","Tschapka, M., S. Dressler & O. von Helversen. 2006. Bat visits to Marcgravia pittieri and notes on the inflorescence diversity within the genus Marcgravia (Marcgraviaceae). Flora 201: 383-388.","Tschapka, Dressler, von Helversen(O)",2006,Bat visits to Marcgravia pittieri and notes on the inflorescence diversity within the genus Marcgravia (Marcgraviaceae,Flora,--Pub-Type-,--Publisher-,--Volume-,201,383-388
293,"Tschapka, M. 2003","Tschapka, M. 2003. Pollination of the understorey palm Calyptrogyne ghiesbreghtiana by hovering and perching bats. Biological Journal of the Linnean Society. 80: 281-288.",Tschapka,2003,Pollination of the understorey palm Calyptrogyne ghiesbreghtiana by hovering and perching bats,Botanical Journal of the Linnean Society,--Pub-Type-,--Publisher-,--Volume-,80,281-288
294,"Tschapka, M. 2004","Tschapka, M. 2004. Energy density patterns of nectar resources permit coexistence within a guild of Neotropical flower-visiting bats. Journal of Zoology. 263: 7–21.",Tschapka,2004,Energy density patterns of nectar resources permit coexistence within a guild of Neotropical flower-visiting bats,Journal of Zoology (London),--Pub-Type-,--Publisher-,--Volume-,263,--Pages-
295,"Tschapka, M. 2005","Tschapka, M. 2005. Reproduction of the bat Glossophaga commissarisi (Phyllostomidae: Glossophaginae) in the Costa Rican rain forest during frugivorous and nectarivorous periods. Biotropica 37: 409-415.",Tschapka,2005,"Bat pollination of Weberocereus tunilla, an epiphytic rain forest cactus with functional flagelliflory",Biotropica,--Pub-Type-,--Publisher-,--Volume-,37,409-415
296,"Tschapka, M., O. von Helversen & W. Barthlott. 1999","Tschapka, M., O. von Helversen & W. Barthlott. 1999. Bat pollination of Weberocereus tunilla, an epiphytic rain forest cactus with functional flagelliflory. Plant Biology. 1: 554-559.","Barthlott, Tschapka, von Helversen(O)",1999,"Bat pollination of Weberocereus tunilla, an epiphytic rain forest cactus with functional flagelliflory",Plant Biology,--Pub-Type-,--Publisher-,--Volume-,1,554-559
297,"Uhl, C. et al. 1981","Uhl, C., K. Clark, H. Clark & P. Murphy. 1981. Early plant succession after cutting and burning in the upper Rio Negro region of the Amazon Basin. Journal of Ecology. 69: 631-649.","Uhl, Clark(K), Clark(H), Murphy",1981,Early plant succession after cutting and burning in the upper Rio Negro region of the Amazon Basin,Journal of Ecology,--Pub-Type-,--Publisher-,--Volume-,69,631-649
298,"Uieda, W. & J. Vasconcellos-Neto. 1985","Uieda, W. & J. Vasconcellos-Neto. 1985. Dispersão de Solanum spp. (Solanaceae) por morgêros, na região de Manaus, AM, Brasil. Revista Brasileira de Zoologia. 2: 449-458.","Uieda, Vasconcellos-Neto",1985,"Dispersão de Solanum spp. (Solanaceae) por morgêros, na região de Manaus, AM, Brasil",Revista Brasileira de Zoologia,--Pub-Type-,--Publisher-,--Volume-,2,449-458
299,"Valiente-Banuet, A. et al. 1996","Valiente-Banuet, A., M. Arizmendi-del-Coro, A. Rojas-Martinez & L. Dominguez-Canseco. 1996. Ecological relationships between columnar cacti and nectar feeding bats in Mexico. Journal of Tropical Ecology. 12: 103-119.","Valiente-Banuet, Arizmendi-del-Coro, Rojas-Martinez, Dominguez-Canseco",1996,Ecological relationships between columnar cacti and nectar feeding bats in Mexico,Journal of Tropical Ecology,--Pub-Type-,--Publisher-,--Volume-,12,103-119
300,"Valiente-Banuet, A. et al. 1997b","Valiente-Banuet, A., A. Rojas-Martinez, A. Casas, M. d. C. Arizmendi & P. Davila. 1997. Pollination biology of two winter-blooming giant columnar cacti in the Tehuacan Valley, central Mexico. J. Arid Environ. 37: 331-341.","Valiente-Banuet,Rojas-Martinez, Casas, Arizmendi, Davila",1997,"Pollination biology of two winter-blooming giant columnar cacti in the Tehuacan Valley, central Mexico",--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,37,331-341
301,"Valiente-Banuet, A. et al. 2004","Valiente-Banuet, A., M. Folina-Freaner, A. Torres, M. d. C. Arizmendi & A. Casas. 2004. Geographic differentiation in the pollination system of the columnar cactus Pachycereus pecten-aboriginum. American Journal of Botany. 91: 850-855.","Valiente-Banuet, Folina-Freaner, Torres, Arizmendi, Casas",2004,Geographic differentiation in the pollination system of the columnar cactus Pachycereus pecten-aboriginum,American Journal of Botany,--Pub-Type-,--Publisher-,--Volume-,91,850-855
302,"van der Pijl, L. 1957","van der Pijl, L. 1957. The dispersal of plants by bats (chiropterochory). Acta Bot. Neerlandica 6: 291-315.",van der Pijl,1957,The dispersal of plants by bats (chiropterochory),--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,6,291-315
303,"van der Pijl, L. 1982","van der Pijl, L. 1982. Principles of dispersal in higher plants. Springer-Verlag.",van der Pijl,1982,Principles of dispersal in higher plants,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
304,"van Roosmalen, M. G. M. 1985","van Roosmalen, M. G. M. 1985. Fruits of the Guianan flora. Utrecht University.",van Roosmalen,1985,Fruits of the Guianan flora,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
305,"Varassin, I. G., J. R. Trigo & M. Sazima. 2001","Varassin, I. G., J. R. Trigo & M. Sazima. 2001. The role of nectar production, flower pigments and odour in the pollination of four species of Passiflora (Passifloraceae) in south-eastern Brazil. Bot. J. Linn. Soc. 136: 139-152.","Varassin, Trigo, Sazima(M)",2001,"The role of nectar production, flower pigments and odour in the pollination of four species of Passiflora (Passifloraceae) in south-eastern Brazil",--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,136,139-152
306,"Vásquez-Yanes, C. et al. 1975","Vásquez-Yanes, C., A. Orozco, G. Francois & L. Trejo. 1975. Observations on seed dispersal by bats in a tropical humid region in Veracruz, Mexico. Biotropica 7: 73-76.","Vásquez-Yanes, Orozco, Francois, Trejo",1975,"Observations on seed dispersal by bats in a tropical humid region in Veracruz, Mexico",Biotropica,--Pub-Type-,--Publisher-,--Volume-,7,73-76
307,"Villa-R., B. & M. Villa Cornejo. 1969","Villa-R., B. & M. Villa Cornejo. 1969. Algunos murcielagos del norte de Argentina. Misc. Publ., Univ. Kansas Mus. Nat. Hist. 51: 407-428.","Villa Cornejo, Villa-R",1969,Algunos murcielagos del norte de Argentina,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,51,407-428
308,"Vogel, S., I. C. Machado & A. V. Lopes. 2004","Vogel, S., I. C. Machado & A. V. Lopes. 2004. Harpochilus neesianus and other novel cases of chiropterophily in neotropical Acanthaceae. Taxon 53: 55-60.","Vogel, Machado, Lopes",2004,Harpochilus neesianus and other novel cases of chiropterophily in neotropical Acanthaceae,Taxon,--Pub-Type-,--Publisher-,--Volume-,53,55-60
